,source,text,words
0,wiki,"The 2022 FIFA World Cup was an international football tournament contested by the men's national teams of FIFA's member associations and 22nd edition of the FIFA World Cup. It took place in Qatar from 20 November to 18 December 2022, making it the first World Cup held in the Arab world and Muslim world, and the second held entirely in Asia after the 2002 tournament in South Korea and Japan.This tournament was the last with 32 participating teams, with the number of teams being increased to 48 for the 2026 edition. To avoid the extremes of Qatar's hot climate, the event was held during November and December. It was held over a reduced time frame of 29 days with 64 matches played in eight venues across five cities. Qatar entered the event—their first World Cup—automatically as the host's national team, alongside 31 teams determined by the qualification process.
Argentina were crowned the champions after winning the final against the title holder France 4–2 on penalties following a 3–3 draw after extra time. It was Argentina's third title and their first since 1986, as well being the first nation from outside of Europe to win the tournament since 2002. French player Kylian Mbappé became the first player to score a hat-trick in a World Cup final since Geoff Hurst in the 1966 final and won the Golden Boot as he scored the most goals (eight) during the tournament. Argentine captain Lionel Messi was voted the tournament's best player, winning the Golden Ball. Teammates Emiliano Martínez and Enzo Fernández won the Golden Glove, awarded to the tournament's best goalkeeper, and the Young Player Award, awarded to the tournament's best young player, respectively. With 172 goals, the tournament set a new record for the highest number of goals scored with the 32 team format.
The choice to host the World Cup in Qatar attracted significant criticism, with concerns raised over the country's treatment of migrant workers, women and members of the LGBT community, as well as Qatar's climate, lack of a strong football culture, scheduling changes, and allegations of bribery for hosting rights and wider FIFA corruption.",354
1,wiki,"The FIFA World Cup is a professional football tournament held between national football teams, Organised by FIFA. The tournament, held every four years, was first played in 1930 in Uruguay, and has been contested by 32 teams since the 1998 event. The tournament was contested with eight round-robin groups followed by a knockout round for 16 teams. The defending champions were France, who defeated Croatia 4–2 in the 2018 FIFA World Cup Final. The event was scheduled to take place under a reduced length, from 20 November to 18 December in Qatar. Being held in Qatar, it was the first World Cup tournament to be held in the Arab world. Spectators were not required to follow most COVID-19 pandemic restrictions such as social distancing, wearing masks, and negative tests.",129
2,wiki,"Unlike previous FIFA World Cups, which are typically played in June and July, because of Qatar's intense summer heat and often fairly high humidity, the 2022 World Cup was played in November and December. As a result, the World Cup was unusually staged in the middle of the seasons of many domestic association football leagues, which started in late July or August, including all of the major European leagues, which had been obliged to incorporate extended breaks into their domestic schedules to accommodate the World Cup. Major European competitions had scheduled their respective competitions group matches to be played before the World Cup, to avoid playing group matches the following year.The match schedule was confirmed by FIFA in July 2020. The group stage was set to begin on 21 November, with four matches every day. Later, the schedule was tweaked by moving the Qatar vs Ecuador game to 20 November, after Qatar lobbied FIFA to allow their team to open the tournament. The final was played on 18 December 2022, National Day, at Lusail Stadium.The matches for each group were allocated to the following stadiums:
Groups A, B, E, F: Al Bayt Stadium, Khalifa International Stadium, Al Thumama Stadium, Ahmad bin Ali Stadium
Groups C, D, G, H: Lusail Stadium, Stadium 974, Education City Stadium, Al Janoub StadiumFIFA confirmed the group stage venue and kick-off times on 1 April 2022, following the draw. On 11 August, it was confirmed that Qatar vs Ecuador had been brought forward one day, now becoming the tournament's opening match, while Senegal vs Netherlands, which would have opened the tournament under the original schedule, had been reallocated to the freed-up timeslot.",276
3,wiki,"In April 2022, FIFA announced the prizes for all participating nations. Each qualified team received $1.5 million before the competition to cover preparation costs with each team receiving at least $9 million in prize money. This edition's total prize pool was $440 million, $40 million greater than the prize pool of the previous tournament.",54
4,wiki,"The tournament featured new substitution rules whereby teams could make up to five substitutions in normal time, and an additional substitution in extra time. In addition, it was the first World Cup to feature concussion substitutions, whereby each team was permitted to use a maximum of one concussion substitute during a match. A concussion substitution did not count towards a team's quota of regular substitutions. Iranian goalkeeper Alireza Beiranvand suffered a concussion in his country's opening match against England and was replaced by Hossein Hosseini. This was the first use of a dedicated concussion substitute during a World Cup.",99
5,wiki,"The bidding procedure to host the 2018 and 2022 FIFA World Cups began in January 2009. National associations had until 2 February 2009 to register interest. Initially, 11 bids were made for the 2018 FIFA World Cup, but Mexico withdrew from proceedings, and Indonesia's bid was rejected by FIFA in February 2010 after the Indonesian Football Association failed to submit a letter of Indonesian government guarantee to support the bid.After UEFA were guaranteed to host the 2018 event, members of UEFA were no longer in contention to host in 2022. There were five bids remaining for the 2022 FIFA World Cup: Australia, Japan, Qatar, South Korea, and the United States.
The 22-member FIFA Executive Committee convened in Zürich on 2 December 2010 to vote to select the hosts of both tournaments. Two FIFA executive committee members were suspended before the vote in relation to allegations of corruption regarding their votes. The decision to host the 2022 World Cup in Qatar, which was graded as having ""high operational risk"", generated criticism from media commentators. It was criticised by many as being part of the FIFA corruption scandals.The voting patterns were as follows:",191
6,wiki,"There have been allegations of bribery and corruption in the selection process involving FIFA's executive committee members. These allegations are being investigated by FIFA (see § Bidding corruption allegations, 2014, below). In May 2011, allegations of corruption within the FIFA senior officials raised questions over the legitimacy of the World Cup 2022 being held in Qatar. The accusations of corruption were made relating to how Qatar won the right to host the event. A FIFA internal investigation and report cleared Qatar of any violation, but chief investigator Michael J. Garcia described FIFA's report on his enquiry as containing ""numerous materially incomplete and erroneous representations.""In May 2015, Swiss federal prosecutors opened an investigation into corruption and money laundering related to the 2018 and 2022 World Cup bids. In August 2018, former FIFA president Sepp Blatter claimed that Qatar had used ""black ops"", suggesting that the bid committee had cheated to win the hosting rights. Some investigations found that Qatar sought an edge in securing hosting by hiring a former CIA officer turned private contractor, Kevin Chalker, to spy on rival bid teams and key football officials who picked the winner in 2010.In September 2018, a delegation from al-Ghufran tribe lodged a complaint to FIFA's president to reject the establishment of the World Cup in Qatar unless its government restored the Qatari nationality to all those affected from the tribe and returned land allegedly stolen from them to build the sport facilities.Qatar faced strong criticism for the treatment of foreign workers involved in preparation for the World Cup, with Amnesty International referring to ""forced labour"" and poor working conditions, while many migrant workers reported having to pay large ""recruitment fees"" to obtain employment. The Guardian newspaper reported that many workers were denied food and water, had their identity papers taken away from them, and that they were not paid on time or at all, making some of them in effect slaves. The Guardian estimated that up to 4,000 workers could die from lax safety and other causes by the time the competition was held. Between 2015 and 2021, the Qatari government adopted new labour reforms to improve working conditions, including a minimum wage for all workers and the removal of the kafala system. According to Amnesty International, however, living and working conditions of the foreign workers did not improve in the last years.Qatar was the smallest nation by area ever to have been awarded a FIFA World Cup – the next smallest by area was Switzerland, host of the 1954 World Cup, which was more than three times as large as Qatar and only needed to host 16 teams instead of 32. Qatar also became only the second country (not including Uruguay and Italy, hosts of the first two World Cups) to be awarded a FIFA World Cup despite having never qualified for a previous edition: Japan was awarded co-hosting rights of the 2002 World Cup in 1996 without ever having qualified for the finals, although they qualified for the 1998 edition. Of the eight stadiums used in the tournament, six were located in the Doha metropolitan area, making it the first World Cup since 1930 in which most of the stadiums were in one city. While this decreased the distance that fans and players needed to commute, Qatar itself struggled to accommodate the numbers of arriving fans with its diminutive amount of space.Due to Qatar's laws on alcohol consumption, World Cup organisers announced the creation of designated ""sobering up"" zones as an alternative to wide-scale arrests of intoxicated fans during the World Cup. Qatar's World Cup chief executive of the Supreme Committee for Delivery and Legacy, Nasser Al Khater, stated that the purpose of the designated sobering-up areas was to ensure the fans' safety. If a fan was sent to the ""sobering up"" zone, they were permitted to leave when they could display clearheaded behaviour. Multiple news agencies described the controversy as a ""cultural clash"" between social conservatism and Islamic morality against the ""norms"" of secular Western liberal democracies.",668
7,wiki,"At an estimated cost of over $220 billion, it is the most expensive World Cup ever held to date; this figure is disputed by Qatari officials, including organising CEO Nasser Al Khater, who said the true cost was $8 billion, and other figures related to overall infrastructure development since the World Cup was awarded to Qatar in 2010.",58
8,wiki,"The first five proposed venues for the World Cup were unveiled at the beginning of March 2010. Qatar intended that the stadiums should reflect its history and culture, and for the designs to meet the following terms of reference: legacy, comfort, accessibility, and sustainability. The stadiums were equipped with cooling systems that aim to reduce temperatures within the stadium by up to 20 °C (36 °F).Their marketing included statements describing the stadiums as zero waste, and the upper tiers of the stadiums will be disassembled after the World Cup and donated to countries with less developed sports infrastructure. Qatar aspired to be compliant and certified by the Global Sustainability Assessment System (GSAS) for all the World Cup stadiums. All of the five stadium projects launched were designed by German architect Albert Speer & Partners. The Al Bayt and Al Wakrah stadiums were the only indoor stadiums of the eight used.

In an April 2013 report by Merrill Lynch, the organisers in Qatar requested that FIFA approve a smaller number of stadiums due to the growing costs. Bloomberg said that Qatar wished to cut the number of venues to eight or nine from the twelve originally planned. By April 2017, FIFA had yet to finalise the number of stadiums Qatar must have readied in five years' time. Qatar's Supreme Committee for Delivery and Legacy (SC) said it expected there would be eight in and near Doha, with the exception of Al Khor.The most used stadium was the Lusail Stadium, which hosted 10 matches, including the final. The Al Bayt Stadium in Al Khor hosted nine matches. All but the nine matches hosted in Al Khor in this tournament were held within a 20 miles (32 km) radius of the centre of Doha. In addition, the Khalifa, Al Thumama and Education City stadiums hosted eight matches each (Khalifa hosted the third place match, while Al Thumama and Education City hosted a quarter-final each) and the 974, Al Janoub and Ahmad bin Ali stadiums hosted seven matches each, including a round of 16 match each.
Stadium 974, formerly known as the Ras Abu Aboud Stadium, was the seventh FIFA World Cup 2022 venue to be completed by the SC. Its name comes from the number of shipping containers used in its construction and Qatar's international dialling code. The venue will be dismantled completely after the tournament – this stadium was the first temporary stadium ever used for a FIFA World Cup. All of the other stadiums used except Khalifa International were reduced in capacity by half.The Qatari government employed about 50,000 security personnel including police departments and military forces from at least thirteen countries, including Poland, Germany, France, Kuwait, Jordan, Italy, Palestine, Spain, Pakistan, Turkey, USA, Saudi Arabia and the United Kingdom.",459
9,wiki,"Team base camps 
Base camps were used by the 32 national squads to stay and train before and during the World Cup tournament. In July 2022, FIFA announced the hotels and training sites for each participating team. This World Cup was the most compact since the inaugural edition in 1930, with 24 of the 32 teams being within a 10 km radius of each other, and are concentrated within the Doha area. It was the first Cup since 1930 in which players did not need to take flights to matches and could remain at the same training base throughout the entire tournament.",102
