prompt,completion
What was the date range of the 2022 FIFA World Cup?,20 November to 18 December 2022
How many teams participated in the 2022 FIFA World Cup?,32
What country won the 2022 FIFA World Cup?,Argentina
Who was the first player to score a hat-trick in a World Cup final since Geoff Hurst in the 1966 final?,Kylian Mbappé
Who won the Golden Boot at the 2022 FIFA World Cup?,Kylian Mbappé
What were some of the criticisms of Qatar hosting the 2022 FIFA World Cup?,"Treatment of migrant workers, women and members of the LGBT community, Qatar's climate, lack of a strong football culture, scheduling changes, and allegations of bribery for hosting rights and wider FIFA corruption."
When was the first FIFA World Cup held?,The first FIFA World Cup was held in 1930 in Uruguay.
How many teams have competed in the FIFA World Cup since 1998?,32 teams have competed in the FIFA World Cup since 1998.
Who were the defending champions of the 2018 FIFA World Cup?,The defending champions of the 2018 FIFA World Cup were France.
When was the 2022 FIFA World Cup scheduled to take place?,The 2022 FIFA World Cup was scheduled to take place from 20 November to 18 December in Qatar.
What country is hosting the 2022 FIFA World Cup?,Qatar is hosting the 2022 FIFA World Cup.
Are spectators required to follow COVID-19 pandemic restrictions at the 2022 FIFA World Cup?,"No, spectators were not required to follow most COVID-19 pandemic restrictions such as social distancing, wearing masks, and negative tests."
What months was the 2022 FIFA World Cup played in?,November and December
What were the major European leagues obliged to do to accommodate the World Cup?,Incorporate extended breaks into their domestic schedules
What date was the final of the 2022 FIFA World Cup?,18 December 2022
"What stadiums were allocated to Groups A, B, E, and F?","Al Bayt Stadium, Khalifa International Stadium, Al Thumama Stadium, Ahmad bin Ali Stadium"
When was the group stage venue and kick-off times confirmed by FIFA?,1 April 2022
What match was moved to become the tournament's opening match?,Qatar vs Ecuador
What was the total prize pool for the April 2022 FIFA tournament?,$440 million
How much money did each qualified team receive before the competition?,$1.5 million
How much more money was in the prize pool for the April 2022 FIFA tournament compared to the previous tournament?,$40 million
How much prize money did each team receive for participating in the April 2022 FIFA tournament?,$9 million
How many substitutions were teams allowed to make in normal time during the tournament?,Five substitutions in normal time.
How many concussion substitutions were teams allowed to make during a match?,One concussion substitution.
Who was the first player to be replaced by a concussion substitute during a World Cup?,Alireza Beiranvand.
What match was the first use of a dedicated concussion substitute during a World Cup?,Iran vs England.
How many bids were made for the 2018 FIFA World Cup?,11
When did the FIFA Executive Committee meet to vote on the host countries for the 2018 and 2022 FIFA World Cups?,2 December 2010
What country withdrew from the bidding procedure to host the 2018 FIFA World Cup?,Mexico
What country was rejected by FIFA in February 2010?,Indonesia
How many bids remained for the 2022 FIFA World Cup?,Five
What were the countries bidding to host the 2022 FIFA World Cup?,"Australia, Japan, Qatar, South Korea, and the United States"
What was the decision to host the 2022 World Cup in Qatar criticized for?,Being part of the FIFA corruption scandals
What were the voting patterns for the 2018 and 2022 FIFA World Cups?,No answer
What allegations of corruption have been made against FIFA's executive committee members?,Allegations of bribery and corruption in the selection process.
What did Michael J. Garcia say about FIFA's report on his enquiry?,"He described FIFA's report on his enquiry as containing ""numerous materially incomplete and erroneous representations."""
What did Swiss federal prosecutors investigate in May 2015?,They investigated corruption and money laundering related to the 2018 and 2022 World Cup bids.
What did Sepp Blatter claim Qatar had used to win the hosting rights for the World Cup 2022?,"He claimed that Qatar had used ""black ops""."
